# 02/20/2021, 21:33:11 
# resultsAmadou 

# Power Law Fit data


x_fit_values	y_fit_1
   299.500	   401.054
   300.000	   401.400
   300.500	   401.745
   301.000	   402.091
   301.500	   402.435
   302.000	   402.780
   302.500	   403.124
   303.000	   403.468
   303.500	   403.812
   304.000	   404.155
   304.500	   404.499
   305.000	   404.841
   305.500	   405.184
   306.000	   405.526
   306.500	   405.869
   307.000	   406.210
   307.500	   406.552
   308.000	   406.893
   308.500	   407.234
   309.000	   407.575
   309.500	   407.915
   310.000	   408.256
   310.500	   408.596
   311.000	   408.935
   311.500	   409.275
   312.000	   409.614
   312.500	   409.953
   313.000	   410.291
   313.500	   410.630
   314.000	   410.968
   314.500	   411.306
   315.000	   411.643
   315.500	   411.981
   316.000	   412.318
   316.500	   412.654
   317.000	   412.991
   317.500	   413.327
   318.000	   413.663
   318.500	   413.999
   319.000	   414.335
   319.500	   414.670
   320.000	   415.005
   320.500	   415.340
   321.000	   415.674
   321.500	   416.009
   322.000	   416.343
   322.500	   416.676
   323.000	   417.010
   323.500	   417.343
   324.000	   417.676
   324.500	   418.009
   325.000	   418.341
   325.500	   418.674
   326.000	   419.006
   326.500	   419.338
   327.000	   419.669
   327.500	   420.000
   328.000	   420.331
   328.500	   420.662
   329.000	   420.993
   329.500	   421.323
   330.000	   421.653
   330.500	   421.983
   331.000	   422.313
   331.500	   422.642
   332.000	   422.971
   332.500	   423.300
   333.000	   423.629
   333.500	   423.957
   334.000	   424.285
   334.500	   424.613
   335.000	   424.941
   335.500	   425.268
   336.000	   425.595
   336.500	   425.922
   337.000	   426.249
   337.500	   426.576
   338.000	   426.902
   338.500	   427.228
   339.000	   427.554
   339.500	   427.879
   340.000	   428.205
   340.500	   428.530
   341.000	   428.855
   341.500	   429.179
   342.000	   429.504
   342.500	   429.828
   343.000	   430.152
   343.500	   430.476
   344.000	   430.799
   344.500	   431.122
   345.000	   431.445
   345.500	   431.768
   346.000	   432.091
   346.500	   432.413
   347.000	   432.735
   347.500	   433.057
   348.000	   433.379
   348.500	   433.700
   349.000	   434.022
   349.500	   434.343
   350.000	   434.664
   350.500	   434.984
   351.000	   435.304
   351.500	   435.625
   352.000	   435.945
   352.500	   436.264
   353.000	   436.584
   353.500	   436.903
   354.000	   437.222
   354.500	   437.541
   355.000	   437.860
   355.500	   438.178
   356.000	   438.496
   356.500	   438.814
   357.000	   439.132
   357.500	   439.449
   358.000	   439.767
   358.500	   440.084
   359.000	   440.401
   359.500	   440.717
   360.000	   441.034
   360.500	   441.350
   361.000	   441.666
   361.500	   441.982
   362.000	   442.298
   362.500	   442.613
   363.000	   442.928
   363.500	   443.243
   364.000	   443.558
   364.500	   443.873
   365.000	   444.187
   365.500	   444.501
   366.000	   444.815
   366.500	   445.129
   367.000	   445.442
   367.500	   445.756
   368.000	   446.069
   368.500	   446.382
   369.000	   446.694
   369.500	   447.007
   370.000	   447.319
   370.500	   447.631
   371.000	   447.943
   371.500	   448.255
   372.000	   448.566
   372.500	   448.878
   373.000	   449.189
   373.500	   449.499
   374.000	   449.810
   374.500	   450.121
   375.000	   450.431
   375.500	   450.741
   376.000	   451.051
   376.500	   451.361
   377.000	   451.670
   377.500	   451.979
   378.000	   452.288
   378.500	   452.597
   379.000	   452.906
   379.500	   453.214
   380.000	   453.523
   380.500	   453.831
   381.000	   454.139
   381.500	   454.446
   382.000	   454.754
   382.500	   455.061
   383.000	   455.368
   383.500	   455.675
   384.000	   455.982
   384.500	   456.289
   385.000	   456.595
   385.500	   456.901
   386.000	   457.207
   386.500	   457.513
   387.000	   457.818
   387.500	   458.124
   388.000	   458.429
   388.500	   458.734
   389.000	   459.039
   389.500	   459.344
   390.000	   459.648
   390.500	   459.952
   391.000	   460.256
   391.500	   460.560
   392.000	   460.864
   392.500	   461.167
   393.000	   461.471
   393.500	   461.774
   394.000	   462.077
   394.500	   462.380
   395.000	   462.682
   395.500	   462.984
   396.000	   463.287
   396.500	   463.589
   397.000	   463.891
   397.500	   464.192
   398.000	   464.494
   398.500	   464.795
   399.000	   465.096
   399.500	   465.397
   400.000	   465.698
   400.500	   465.998
   401.000	   466.299
   401.500	   466.599
   402.000	   466.899
   402.500	   467.199
   403.000	   467.498
   403.500	   467.798
   404.000	   468.097
   404.500	   468.396
   405.000	   468.695
   405.500	   468.994
   406.000	   469.292
   406.500	   469.591
   407.000	   469.889
   407.500	   470.187
   408.000	   470.485
   408.500	   470.783
   409.000	   471.080
   409.500	   471.378
   410.000	   471.675
   410.500	   471.972
   411.000	   472.269
   411.500	   472.565
   412.000	   472.862
   412.500	   473.158
   413.000	   473.454
   413.500	   473.750
   414.000	   474.046
   414.500	   474.341
   415.000	   474.637
   415.500	   474.932
   416.000	   475.227
   416.500	   475.522
   417.000	   475.817
   417.500	   476.111
   418.000	   476.406
   418.500	   476.700
   419.000	   476.994
   419.500	   477.288
   420.000	   477.582
   420.500	   477.875
   421.000	   478.169
   421.500	   478.462
   422.000	   478.755
   422.500	   479.048
   423.000	   479.340
   423.500	   479.633
   424.000	   479.925
   424.500	   480.218
   425.000	   480.510
   425.500	   480.802
   426.000	   481.093
   426.500	   481.385
   427.000	   481.676
   427.500	   481.967
   428.000	   482.258
   428.500	   482.549
   429.000	   482.840
   429.500	   483.131
   430.000	   483.421
   430.500	   483.711
   431.000	   484.001
   431.500	   484.291
   432.000	   484.581
   432.500	   484.871
   433.000	   485.160
   433.500	   485.449
   434.000	   485.738
   434.500	   486.027
   435.000	   486.316
   435.500	   486.605
   436.000	   486.893
   436.500	   487.181
   437.000	   487.470
   437.500	   487.757
   438.000	   488.045
   438.500	   488.333
   439.000	   488.620
   439.500	   488.908
   440.000	   489.195
   440.500	   489.482
   441.000	   489.769
   441.500	   490.056
   442.000	   490.342
   442.500	   490.629
   443.000	   490.915
   443.500	   491.201
   444.000	   491.487
   444.500	   491.773
   445.000	   492.058
   445.500	   492.344
   446.000	   492.629
   446.500	   492.914
   447.000	   493.199
   447.500	   493.484
   448.000	   493.769
   448.500	   494.053
   449.000	   494.338
   449.500	   494.622
   450.000	   494.906
   450.500	   495.190
   451.000	   495.474
   451.500	   495.757
   452.000	   496.041
   452.500	   496.324
   453.000	   496.607
   453.500	   496.890
   454.000	   497.173
   454.500	   497.456
   455.000	   497.738
   455.500	   498.021
   456.000	   498.303
   456.500	   498.585
   457.000	   498.867
   457.500	   499.149
   458.000	   499.431
   458.500	   499.712
   459.000	   499.993
   459.500	   500.275
   460.000	   500.556
   460.500	   500.837
   461.000	   501.117
   461.500	   501.398
   462.000	   501.679
   462.500	   501.959
   463.000	   502.239
   463.500	   502.519
   464.000	   502.799
   464.500	   503.079
   465.000	   503.358
   465.500	   503.638
   466.000	   503.917
   466.500	   504.196
   467.000	   504.475
   467.500	   504.754
   468.000	   505.033
   468.500	   505.312
   469.000	   505.590
   469.500	   505.868
   470.000	   506.147
   470.500	   506.425
   471.000	   506.702
   471.500	   506.980
   472.000	   507.258
   472.500	   507.535
   473.000	   507.813
   473.500	   508.090
   474.000	   508.367
   474.500	   508.644
   475.000	   508.920
   475.500	   509.197
   476.000	   509.473
   476.500	   509.750
   477.000	   510.026
   477.500	   510.302
   478.000	   510.578
   478.500	   510.854
   479.000	   511.129
   479.500	   511.405
   480.000	   511.680
   480.500	   511.955
   481.000	   512.230
   481.500	   512.505
   482.000	   512.780
   482.500	   513.055
   483.000	   513.329
   483.500	   513.604
   484.000	   513.878
   484.500	   514.152
   485.000	   514.426
   485.500	   514.700
   486.000	   514.973
   486.500	   515.247
   487.000	   515.520
   487.500	   515.794
   488.000	   516.067
   488.500	   516.340
   489.000	   516.613
   489.500	   516.886
   490.000	   517.158
   490.500	   517.431
   491.000	   517.703
   491.500	   517.975
   492.000	   518.247
   492.500	   518.519
   493.000	   518.791
   493.500	   519.063
   494.000	   519.334
   494.500	   519.606
   495.000	   519.877
   495.500	   520.148
   496.000	   520.419
   496.500	   520.690
   497.000	   520.961
   497.500	   521.231
   498.000	   521.502
   498.500	   521.772
   499.000	   522.042
   499.500	   522.312
