# 02/20/2021, 21:33:11 
# resultsAmadou 

# Visualization data
# time unit: min
# channels unit: MOhm


Time	ch1
   72.5000	    2.6962
   73.0000	    2.6922
   73.5000	    2.6840
   74.0000	    2.6795
   74.5000	    2.6782
   75.0000	    2.6741
   75.5000	    5.7474
   76.0000	    6.6354
   76.5000	    6.9242
   77.0000	    7.1379
   77.5000	    7.3199
   78.0000	    7.6275
   78.5000	    7.7954
   79.0000	    7.9294
   79.5000	    8.0168
   80.0000	    8.0794
   80.5000	    8.1581
   81.0000	    8.2201
   81.5000	    8.2929
   82.0000	    8.3468
   82.5000	    8.3816
   83.0000	    8.4304
   83.5000	    8.4900
   84.0000	    8.5180
   84.5000	    8.5680
   85.0000	    8.5856
   85.5000	    8.6198
   86.0000	    8.6688
   86.5000	    8.6946
   87.0000	    8.7169
   87.5000	    8.7405
   88.0000	    8.7644
   88.5000	    8.8062
   89.0000	    8.8218
   89.5000	    8.8327
   90.0000	    8.8506
   90.5000	    6.2732
   91.0000	    5.5513
   91.5000	    5.1774
   92.0000	    4.9089
   92.5000	    4.7087
   93.0000	    4.5615
   93.5000	    4.4358
   94.0000	    4.3218
   94.5000	    4.2377
   95.0000	    4.1503
   95.5000	    4.0784
   96.0000	    4.0148
   96.5000	    3.9597
   97.0000	    3.9039
   97.5000	    3.8571
   98.0000	    3.8107
   98.5000	    3.7682
   99.0000	    3.7350
   99.5000	    3.6991
  100.0000	    3.6597
  100.5000	    3.6268
  101.0000	    3.6028
  101.5000	    3.5676
  102.0000	    3.5403
  102.5000	    3.5172
  103.0000	    3.4954
  103.5000	    3.4695
  104.0000	    3.4492
  104.5000	    3.4213
  105.0000	    3.4065
  105.5000	    3.3842
  106.0000	    3.3646
  106.5000	    3.3484
  107.0000	    3.3290
  107.5000	    3.3144
  108.0000	    3.2927
  108.5000	    3.2822
  109.0000	    3.2664
  109.5000	    3.2513
  110.0000	    3.2338
  110.5000	    3.2185
  111.0000	    3.2057
  111.5000	    3.1962
  112.0000	    3.1815
  112.5000	    3.1681
  113.0000	    3.1581
  113.5000	    3.1436
  114.0000	    3.1346
  114.5000	    3.1183
  115.0000	    3.1079
  115.5000	    3.1011
  116.0000	    3.0876
  116.5000	    3.0804
  117.0000	    3.0658
  117.5000	    3.0609
  118.0000	    3.0483
  118.5000	    3.0376
  119.0000	    3.0280
  119.5000	    3.0226
  120.0000	    3.0098
  120.5000	    3.0072
  121.0000	    2.9937
  121.5000	    2.9851
  122.0000	    2.9800
  122.5000	    2.9700
  123.0000	    2.9610
  123.5000	    2.9540
  124.0000	    2.9468
  124.5000	    2.9410
  125.0000	    2.9364
  125.5000	    2.9258
  126.0000	    2.9222
  126.5000	    2.9158
  127.0000	    2.9080
  127.5000	    2.9024
  128.0000	    2.8957
  128.5000	    2.8879
  129.0000	    2.8807
  129.5000	    2.8728
  130.0000	    2.8670
  130.5000	    2.8606
  131.0000	    2.8543
  131.5000	    2.8522
  132.0000	    2.8428
  132.5000	    2.8422
  133.0000	    2.8361
  133.5000	    2.8268
  134.0000	    2.8227
  134.5000	    2.8152
  135.0000	    2.8106
  135.5000	    7.8774
  136.0000	    8.7398
  136.5000	    9.4781
  137.0000	    9.9420
  137.5000	   10.2067
  138.0000	   10.4128
  138.5000	   10.5701
  139.0000	   10.7104
  139.5000	   10.8619
  140.0000	   10.9643
  140.5000	   11.0810
  141.0000	   11.1575
  141.5000	   11.2324
  142.0000	   11.3239
  142.5000	   11.3706
  143.0000	   11.4684
  143.5000	   11.4919
  144.0000	   11.5394
  144.5000	   11.6507
  145.0000	   11.6452
  145.5000	   11.7483
