# 02/18/2021, 12:46:38 
# rGO-based sensors 

# Normalization data
# time unit: min
# normalization point: 50.0 min


Time	ch1 norm	ch2 norm	ch3 norm	ch4 norm
60.0000000	 0.8458576	 0.8666118	 0.8920602	 0.7706427
61.0000000	 0.8655237	 0.8816064	 0.9009853	 0.8281843
62.0000000	 0.8815879	 0.8939268	 0.9085517	 0.8646464
63.0000000	 0.8941765	 0.9037189	 0.9148110	 0.8913063
64.0000000	 0.9040297	 0.9124780	 0.9203159	 0.9113782
65.0000000	 0.9125353	 0.9185567	 0.9250486	 0.9271093
66.0000000	 0.9197982	 0.9244209	 0.9289296	 0.9403685
67.0000000	 0.9260659	 0.9295670	 0.9324780	 0.9517277
68.0000000	 0.9314973	 0.9345808	 0.9360936	 0.9607479
69.0000000	 0.9364889	 0.9379591	 0.9392436	 0.9682429
70.0000000	 0.9408295	 0.9418562	 0.9418161	 0.9743486
71.0000000	 0.9449903	 0.9448546	 0.9444678	 0.9797286
72.0000000	 0.9482694	 0.9483053	 0.9469865	 0.9841225
73.0000000	 0.9518156	 0.9510776	 0.9491863	 0.9890604
74.0000000	 0.9549303	 0.9539991	 0.9517389	 0.9923827
75.0000000	 0.9574328	 0.9560003	 0.9531305	 0.9946238
76.0000000	 0.9601119	 0.9586420	 0.9552028	 0.9971058
77.0000000	 0.9625923	 0.9610376	 0.9570101	 0.9999517
78.0000000	 0.9642177	 0.9627605	 0.9585658	 1.0013320
79.0000000	 0.9664231	 0.9644387	 0.9603759	 1.0024371
80.0000000	 0.9681499	 0.9661327	 0.9616394	 1.0039403
81.0000000	 0.9696312	 0.9676129	 0.9630916	 1.0055709
82.0000000	 0.9708580	 0.9686588	 0.9645444	 1.0061254
83.0000000	 0.9721081	 0.9702217	 0.9656814	 1.0062349
84.0000000	 0.9735670	 0.9713681	 0.9667189	 1.0071443
85.0000000	 0.9748175	 0.9732436	 0.9676325	 1.0076493
86.0000000	 0.9754784	 0.9734593	 0.9688647	 1.0080673
87.0000000	 0.9762014	 0.9738733	 0.9697658	 1.0082198
88.0000000	 0.9773556	 0.9753974	 0.9706906	 1.0082262
89.0000000	 0.9781149	 0.9762438	 0.9715758	 1.0094021
90.0000000	 0.9789739	 0.9766766	 0.9722951	 1.0096886
91.0000000	 0.9794799	 0.9774635	 0.9732439	 1.0096083
92.0000000	 0.9801323	 0.9785511	 0.9740352	 1.0089581
93.0000000	 0.9809896	 0.9791537	 0.9747446	 1.0098252
94.0000000	 0.9813929	 0.9800927	 0.9754442	 1.0103816
95.0000000	 0.9821678	 0.9804909	 0.9765032	 1.0097047
96.0000000	 0.9824778	 0.9810546	 0.9771036	 1.0093126
97.0000000	 0.9832903	 0.9816505	 0.9774487	 1.0091177
98.0000000	 0.9840739	 0.9822222	 0.9782480	 1.0093475
99.0000000	 0.9842533	 0.9834107	 0.9790959	 1.0096643
100.0000000	 0.9847600	 0.9840762	 0.9793298	 1.0091472
101.0000000	 0.9853092	 0.9838495	 0.9801389	 1.0091366
102.0000000	 0.9854985	 0.9850415	 0.9803242	 1.0088766
103.0000000	 0.9862473	 0.9852507	 0.9811526	 1.0093206
104.0000000	 0.9867318	 0.9852969	 0.9818932	 1.0085861
105.0000000	 0.9872334	 0.9858448	 0.9820178	 1.0082378
106.0000000	 0.9880637	 0.9864853	 0.9824781	 1.0086604
107.0000000	 0.9882951	 0.9875375	 0.9829910	 1.0089080
108.0000000	 0.9885906	 0.9878773	 0.9836674	 1.0084812
109.0000000	 0.9892893	 0.9877852	 0.9839497	 1.0077456
110.0000000	 0.9896809	 0.9888530	 0.9845842	 1.0079154
111.0000000	 0.9175513	 0.9326218	 0.9476120	 0.8416285
112.0000000	 0.8696711	 0.8909734	 0.9120402	 0.7929479
113.0000000	 0.8343592	 0.8587861	 0.8791398	 0.7529567
114.0000000	 0.8091682	 0.8344784	 0.8512174	 0.7300237
115.0000000	 0.7904230	 0.8157671	 0.8279472	 0.7143408
116.0000000	 0.7758152	 0.8017068	 0.8085709	 0.7040559
117.0000000	 0.7641973	 0.7894562	 0.7923842	 0.6967502
118.0000000	 0.7547370	 0.7792081	 0.7786200	 0.6913012
119.0000000	 0.7469087	 0.7708570	 0.7668122	 0.6878230
120.0000000	 0.7407603	 0.7636950	 0.7567932	 0.6867627
121.0000000	 0.7726320	 0.7894388	 0.7759059	 0.7620351
122.0000000	 0.7982270	 0.8101621	 0.7914609	 0.8068966
123.0000000	 0.8175446	 0.8258903	 0.8041989	 0.8386808
