# 02/18/2021, 12:46:38 
# rGO-based sensors 

# Power Law Fit data


x_fit_values	y_fit_1	y_fit_2	y_fit_3	y_fit_4
     1.725	    27.935	    25.341	    25.532	    33.597
     1.730	    27.962	    25.367	    25.561	    33.618
     1.735	    27.988	    25.392	    25.591	    33.640
     1.740	    28.015	    25.418	    25.620	    33.661
     1.745	    28.042	    25.443	    25.650	    33.682
     1.750	    28.068	    25.468	    25.679	    33.704
     1.755	    28.095	    25.493	    25.708	    33.725
     1.760	    28.121	    25.518	    25.737	    33.746
     1.765	    28.148	    25.544	    25.767	    33.767
     1.770	    28.174	    25.569	    25.796	    33.788
     1.775	    28.200	    25.594	    25.825	    33.809
     1.780	    28.226	    25.619	    25.854	    33.830
     1.785	    28.253	    25.644	    25.883	    33.851
     1.790	    28.279	    25.668	    25.912	    33.872
     1.795	    28.305	    25.693	    25.941	    33.892
     1.800	    28.331	    25.718	    25.970	    33.913
     1.805	    28.357	    25.743	    25.999	    33.934
     1.810	    28.383	    25.767	    26.027	    33.955
     1.815	    28.409	    25.792	    26.056	    33.975
     1.820	    28.435	    25.817	    26.085	    33.996
     1.825	    28.461	    25.841	    26.113	    34.016
     1.830	    28.486	    25.866	    26.142	    34.037
     1.835	    28.512	    25.890	    26.171	    34.057
     1.840	    28.538	    25.915	    26.199	    34.078
     1.845	    28.564	    25.939	    26.227	    34.098
     1.850	    28.589	    25.963	    26.256	    34.118
     1.855	    28.615	    25.988	    26.284	    34.139
     1.860	    28.640	    26.012	    26.313	    34.159
     1.865	    28.666	    26.036	    26.341	    34.179
     1.870	    28.691	    26.060	    26.369	    34.199
     1.875	    28.716	    26.085	    26.397	    34.219
     1.880	    28.742	    26.109	    26.425	    34.240
     1.885	    28.767	    26.133	    26.453	    34.260
     1.890	    28.792	    26.157	    26.481	    34.280
     1.895	    28.818	    26.181	    26.509	    34.300
     1.900	    28.843	    26.205	    26.537	    34.319
     1.905	    28.868	    26.228	    26.565	    34.339
     1.910	    28.893	    26.252	    26.593	    34.359
     1.915	    28.918	    26.276	    26.621	    34.379
     1.920	    28.943	    26.300	    26.649	    34.399
     1.925	    28.968	    26.324	    26.676	    34.418
     1.930	    28.993	    26.347	    26.704	    34.438
     1.935	    29.017	    26.371	    26.732	    34.458
     1.940	    29.042	    26.394	    26.759	    34.477
     1.945	    29.067	    26.418	    26.787	    34.497
     1.950	    29.092	    26.442	    26.814	    34.516
     1.955	    29.116	    26.465	    26.842	    34.536
     1.960	    29.141	    26.488	    26.869	    34.555
     1.965	    29.166	    26.512	    26.897	    34.575
     1.970	    29.190	    26.535	    26.924	    34.594
     1.975	    29.215	    26.559	    26.951	    34.613
     1.980	    29.239	    26.582	    26.979	    34.633
     1.985	    29.264	    26.605	    27.006	    34.652
     1.990	    29.288	    26.628	    27.033	    34.671
     1.995	    29.312	    26.652	    27.060	    34.690
     2.000	    29.337	    26.675	    27.087	    34.709
     2.005	    29.361	    26.698	    27.114	    34.728
     2.010	    29.385	    26.721	    27.141	    34.747
     2.015	    29.409	    26.744	    27.168	    34.766
     2.020	    29.433	    26.767	    27.195	    34.785
     2.025	    29.457	    26.790	    27.222	    34.804
     2.030	    29.481	    26.813	    27.249	    34.823
     2.035	    29.505	    26.836	    27.276	    34.842
     2.040	    29.529	    26.858	    27.303	    34.861
     2.045	    29.553	    26.881	    27.329	    34.880
     2.050	    29.577	    26.904	    27.356	    34.899
     2.055	    29.601	    26.927	    27.383	    34.917
     2.060	    29.625	    26.949	    27.409	    34.936
     2.065	    29.649	    26.972	    27.436	    34.955
     2.070	    29.673	    26.995	    27.462	    34.973
     2.075	    29.696	    27.017	    27.489	    34.992
     2.080	    29.720	    27.040	    27.515	    35.010
     2.085	    29.744	    27.062	    27.542	    35.029
     2.090	    29.767	    27.085	    27.568	    35.047
     2.095	    29.791	    27.107	    27.595	    35.066
     2.100	    29.814	    27.130	    27.621	    35.084
     2.105	    29.838	    27.152	    27.647	    35.103
     2.110	    29.861	    27.174	    27.673	    35.121
     2.115	    29.885	    27.197	    27.700	    35.139
     2.120	    29.908	    27.219	    27.726	    35.158
     2.125	    29.931	    27.241	    27.752	    35.176
     2.130	    29.954	    27.263	    27.778	    35.194
     2.135	    29.978	    27.286	    27.804	    35.212
     2.140	    30.001	    27.308	    27.830	    35.230
     2.145	    30.024	    27.330	    27.856	    35.248
     2.150	    30.047	    27.352	    27.882	    35.266
     2.155	    30.070	    27.374	    27.908	    35.284
     2.160	    30.093	    27.396	    27.934	    35.303
     2.165	    30.117	    27.418	    27.960	    35.320
     2.170	    30.140	    27.440	    27.985	    35.338
     2.175	    30.163	    27.462	    28.011	    35.356
     2.180	    30.185	    27.484	    28.037	    35.374
     2.185	    30.208	    27.505	    28.063	    35.392
     2.190	    30.231	    27.527	    28.088	    35.410
     2.195	    30.254	    27.549	    28.114	    35.428
     2.200	    30.277	    27.571	    28.140	    35.445
     2.205	    30.300	    27.592	    28.165	    35.463
     2.210	    30.322	    27.614	    28.191	    35.481
     2.215	    30.345	    27.636	    28.216	    35.499
     2.220	    30.368	    27.657	    28.242	    35.516
     2.225	    30.390	    27.679	    28.267	    35.534
     2.230	    30.413	    27.700	    28.292	    35.551
     2.235	    30.435	    27.722	    28.318	    35.569
     2.240	    30.458	    27.743	    28.343	    35.586
     2.245	    30.480	    27.765	    28.368	    35.604
     2.250	    30.503	    27.786	    28.394	    35.621
     2.255	    30.525	    27.808	    28.419	    35.639
     2.260	    30.548	    27.829	    28.444	    35.656
     2.265	    30.570	    27.850	    28.469	    35.673
     2.270	    30.592	    27.872	    28.494	    35.691
     2.275	    30.615	    27.893	    28.519	    35.708
     2.280	    30.637	    27.914	    28.544	    35.725
     2.285	    30.659	    27.935	    28.569	    35.743
     2.290	    30.681	    27.957	    28.594	    35.760
     2.295	    30.703	    27.978	    28.619	    35.777
     2.300	    30.726	    27.999	    28.644	    35.794
     2.305	    30.748	    28.020	    28.669	    35.811
     2.310	    30.770	    28.041	    28.694	    35.828
     2.315	    30.792	    28.062	    28.719	    35.845
     2.320	    30.814	    28.083	    28.744	    35.862
     2.325	    30.836	    28.104	    28.768	    35.879
     2.330	    30.858	    28.125	    28.793	    35.896
     2.335	    30.880	    28.146	    28.818	    35.913
     2.340	    30.901	    28.167	    28.842	    35.930
     2.345	    30.923	    28.187	    28.867	    35.947
     2.350	    30.945	    28.208	    28.892	    35.964
     2.355	    30.967	    28.229	    28.916	    35.981
     2.360	    30.989	    28.250	    28.941	    35.998
     2.365	    31.010	    28.271	    28.965	    36.014
     2.370	    31.032	    28.291	    28.990	    36.031
     2.375	    31.054	    28.312	    29.014	    36.048
     2.380	    31.075	    28.333	    29.038	    36.065
     2.385	    31.097	    28.353	    29.063	    36.081
     2.390	    31.118	    28.374	    29.087	    36.098
     2.395	    31.140	    28.394	    29.112	    36.115
     2.400	    31.162	    28.415	    29.136	    36.131
     2.405	    31.183	    28.435	    29.160	    36.148
     2.410	    31.204	    28.456	    29.184	    36.164
     2.415	    31.226	    28.476	    29.209	    36.181
     2.420	    31.247	    28.497	    29.233	    36.197
     2.425	    31.269	    28.517	    29.257	    36.214
     2.430	    31.290	    28.538	    29.281	    36.230
     2.435	    31.311	    28.558	    29.305	    36.247
     2.440	    31.332	    28.578	    29.329	    36.263
     2.445	    31.354	    28.598	    29.353	    36.279
     2.450	    31.375	    28.619	    29.377	    36.296
     2.455	    31.396	    28.639	    29.401	    36.312
     2.460	    31.417	    28.659	    29.425	    36.328
     2.465	    31.438	    28.679	    29.449	    36.344
     2.470	    31.459	    28.699	    29.473	    36.361
     2.475	    31.481	    28.720	    29.497	    36.377
     2.480	    31.502	    28.740	    29.520	    36.393
     2.485	    31.523	    28.760	    29.544	    36.409
     2.490	    31.544	    28.780	    29.568	    36.425
     2.495	    31.565	    28.800	    29.592	    36.441
     2.500	    31.585	    28.820	    29.615	    36.457
     2.505	    31.606	    28.840	    29.639	    36.473
     2.510	    31.627	    28.860	    29.663	    36.489
     2.515	    31.648	    28.880	    29.686	    36.505
     2.520	    31.669	    28.900	    29.710	    36.521
     2.525	    31.690	    28.919	    29.733	    36.537
     2.530	    31.710	    28.939	    29.757	    36.553
     2.535	    31.731	    28.959	    29.780	    36.569
     2.540	    31.752	    28.979	    29.804	    36.585
     2.545	    31.773	    28.999	    29.827	    36.601
     2.550	    31.793	    29.018	    29.851	    36.617
     2.555	    31.814	    29.038	    29.874	    36.633
     2.560	    31.834	    29.058	    29.898	    36.648
     2.565	    31.855	    29.077	    29.921	    36.664
     2.570	    31.875	    29.097	    29.944	    36.680
     2.575	    31.896	    29.117	    29.967	    36.695
     2.580	    31.916	    29.136	    29.991	    36.711
     2.585	    31.937	    29.156	    30.014	    36.727
     2.590	    31.957	    29.175	    30.037	    36.742
     2.595	    31.978	    29.195	    30.060	    36.758
     2.600	    31.998	    29.214	    30.083	    36.774
     2.605	    32.019	    29.234	    30.107	    36.789
     2.610	    32.039	    29.253	    30.130	    36.805
     2.615	    32.059	    29.273	    30.153	    36.820
     2.620	    32.079	    29.292	    30.176	    36.836
     2.625	    32.100	    29.311	    30.199	    36.851
     2.630	    32.120	    29.331	    30.222	    36.867
     2.635	    32.140	    29.350	    30.245	    36.882
     2.640	    32.160	    29.369	    30.268	    36.897
     2.645	    32.180	    29.389	    30.291	    36.913
     2.650	    32.201	    29.408	    30.313	    36.928
     2.655	    32.221	    29.427	    30.336	    36.944
     2.660	    32.241	    29.446	    30.359	    36.959
     2.665	    32.261	    29.465	    30.382	    36.974
     2.670	    32.281	    29.485	    30.405	    36.989
     2.675	    32.301	    29.504	    30.427	    37.005
     2.680	    32.321	    29.523	    30.450	    37.020
     2.685	    32.341	    29.542	    30.473	    37.035
     2.690	    32.361	    29.561	    30.496	    37.050
     2.695	    32.381	    29.580	    30.518	    37.065
     2.700	    32.400	    29.599	    30.541	    37.081
     2.705	    32.420	    29.618	    30.563	    37.096
     2.710	    32.440	    29.637	    30.586	    37.111
     2.715	    32.460	    29.656	    30.609	    37.126
     2.720	    32.480	    29.675	    30.631	    37.141
     2.725	    32.499	    29.694	    30.654	    37.156
     2.730	    32.519	    29.713	    30.676	    37.171
     2.735	    32.539	    29.731	    30.699	    37.186
     2.740	    32.559	    29.750	    30.721	    37.201
     2.745	    32.578	    29.769	    30.743	    37.216
     2.750	    32.598	    29.788	    30.766	    37.231
