# 02/18/2021, 12:46:38 
# rGO-based sensors 

# Visualization data
# time unit: min
# channels unit: kOhm


Time	ch1	ch2	ch3	ch4
  211.0000	   22.2808	   34.0979	   39.5285	  260.9180
  212.0000	   22.3229	   34.1487	   39.6357	  260.9026
  213.0000	   22.3700	   34.2233	   39.7524	  261.1443
  214.0000	   22.4108	   34.3010	   39.8598	  261.1417
  215.0000	   22.4418	   34.3505	   39.9712	  261.2556
  216.0000	   22.4855	   34.3969	   40.0684	  261.4374
  217.0000	   22.5202	   34.4576	   40.1693	  261.6272
  218.0000	   22.5573	   34.5337	   40.2670	  261.4981
  219.0000	   22.5838	   34.5758	   40.3505	  261.7699
  220.0000	   22.6146	   34.6179	   40.4405	  262.0084
  221.0000	   22.6378	   34.6689	   40.5236	  261.7879
  222.0000	   22.6695	   34.7180	   40.5987	  261.8919
  223.0000	   22.6980	   34.7530	   40.6819	  262.1755
  224.0000	   22.7184	   34.8002	   40.7681	  262.1196
  225.0000	   22.7410	   34.8548	   40.8298	  261.9973
  226.0000	   22.7636	   34.8772	   40.9079	  262.2520
  227.0000	   22.7831	   34.9490	   40.9800	  262.0091
  228.0000	   22.8049	   34.9566	   41.0346	  262.1612
  229.0000	   22.8269	   34.9877	   41.1021	  262.3299
  230.0000	   22.8345	   35.0348	   41.1689	  262.5077
  231.0000	   17.6038	   28.1994	   33.8406	  175.5064
  232.0000	   16.0987	   25.9926	   30.7709	  164.0295
  233.0000	   15.4032	   24.8900	   29.1362	  159.4909
  234.0000	   15.0029	   24.2255	   28.1408	  157.1227
  235.0000	   14.7265	   23.7711	   27.4447	  155.7451
  236.0000	   14.5325	   23.4408	   26.9451	  155.0056
  237.0000	   14.3762	   23.1804	   26.5675	  154.4030
  238.0000	   14.2551	   22.9780	   26.2670	  154.0499
  239.0000	   14.1587	   22.8071	   26.0146	  153.6777
  240.0000	   14.0805	   22.6772	   25.8385	  154.4631
  241.0000	   15.3320	   24.2475	   27.3686	  183.4677
  242.0000	   16.2120	   25.3449	   28.4546	  197.5749
  243.0000	   16.8653	   26.2220	   29.3318	  207.5836
  244.0000	   17.4133	   26.9329	   30.0732	  215.2059
  245.0000	   17.8778	   27.5315	   30.7221	  221.6606
  246.0000	   18.2708	   28.0677	   31.3187	  226.8926
  247.0000	   18.6130	   28.5535	   31.8454	  231.1508
  248.0000	   18.9307	   28.9854	   32.3306	  235.0377
  249.0000	   19.2006	   29.3656	   32.7885	  238.2878
  250.0000	   19.4483	   29.7013	   33.2129	  240.7376
  251.0000	   19.6694	   30.0236	   33.5945	  243.0356
  252.0000	   19.8721	   30.3339	   33.9624	  245.5497
  253.0000	   20.0612	   30.6032	   34.3011	  247.4182
  254.0000	   20.2438	   30.8672	   34.6235	  248.7358
  255.0000	   20.3935	   31.0952	   34.9213	  250.1475
  256.0000	   20.5460	   31.3148	   35.2203	  251.6356
  257.0000	   20.6820	   31.5239	   35.4947	  252.4372
  258.0000	   20.8113	   31.7131	   35.7491	  253.4409
  259.0000	   20.9324	   31.8732	   35.9966	  254.5081
  260.0000	   21.0436	   32.0631	   36.2424	  255.1284
  261.0000	   21.1345	   32.2314	   36.4571	  255.8513
  262.0000	   21.2354	   32.4108	   36.6648	  256.5586
  263.0000	   21.3219	   32.5299	   36.8809	  256.9661
  264.0000	   21.4109	   32.6569	   37.0680	  257.3125
  265.0000	   21.4874	   32.7854	   37.2573	  258.0335
  266.0000	   21.5649	   32.9205	   37.4357	  258.5652
  267.0000	   21.6313	   33.0407	   37.6159	  258.6282
  268.0000	   21.7045	   33.1603	   37.7713	  259.0764
  269.0000	   21.7612	   33.2461	   37.9470	  259.3709
  270.0000	   21.8155	   33.3452	   38.0950	  259.5014
  271.0000	   21.8814	   33.4482	   38.2372	  259.8084
  272.0000	   21.9439	   33.5353	   38.3909	  260.0412
  273.0000	   21.9808	   33.6348	   38.5321	  259.9025
  274.0000	   22.0324	   33.7073	   38.6524	  259.9473
  275.0000	   22.0844	   33.7642	   38.7865	  260.3302
  276.0000	   22.1285	   33.8442	   38.9095	  260.3912
  277.0000	   22.1704	   33.9107	   39.0285	  260.3395
  278.0000	   22.2152	   33.9821	   39.1410	  260.5842
  279.0000	   22.2496	   34.0564	   39.2680	  260.5673
  280.0000	   22.2922	   34.0891	   39.3696	  260.6053
  281.0000	   22.3265	   34.1856	   39.4840	  260.9290
  282.0000	   22.3601	   34.2337	   39.5833	  260.7189
  283.0000	   22.3916	   34.2914	   39.6800	  260.9073
  284.0000	   22.4292	   34.3377	   39.7771	  261.0103
  285.0000	   22.4462	   34.4013	   39.8668	  260.9113
  286.0000	   22.4770	   34.4493	   39.9495	  260.9434
  287.0000	   22.5177	   34.5156	   40.0483	  261.1856
  288.0000	   22.5360	   34.5575	   40.1278	  261.0592
  289.0000	   22.5634	   34.5821	   40.2054	  260.9427
  290.0000	   22.5922	   34.6282	   40.2856	  261.2319
  291.0000	   22.6078	   34.6741	   40.3684	  261.1967
  292.0000	   22.6333	   34.7085	   40.4372	  261.1009
  293.0000	   22.6616	   34.7580	   40.5179	  261.2559
  294.0000	   22.6776	   34.7987	   40.5825	  261.3406
  295.0000	   22.7010	   34.8045	   40.6565	  261.2078
  296.0000	   22.7240	   34.8407	   40.7183	  261.3113
  297.0000	   22.7411	   34.9084	   40.7838	  261.3506
  298.0000	   22.7593	   34.9378	   40.8591	  261.3749
  299.0000	   22.7831	   34.9346	   40.9112	  261.1832
  300.0000	   22.7986	   34.9657	   40.9626	  261.3334
  301.0000	   22.8136	   34.9933	   41.0232	  261.4557
  302.0000	   22.8230	   35.0272	   41.0812	  261.2758
  303.0000	   22.8486	   35.0261	   41.1242	  261.2147
  304.0000	   22.8604	   35.0583	   41.1863	  261.2943
  305.0000	   22.8653	   35.1140	   41.2434	  261.2610
  306.0000	   22.8811	   35.1004	   41.2895	  261.3140
  307.0000	   22.8841	   35.1511	   41.3395	  261.4341
  308.0000	   22.9040	   35.1888	   41.3840	  261.4177
  309.0000	   22.9174	   35.2230	   41.4315	  261.2027
  310.0000	   22.9232	   35.1926	   41.4760	  261.3969
  311.0000	   22.9391	   35.2213	   41.5206	  261.4726
  312.0000	   22.9485	   35.2353	   41.5617	  261.3329
  313.0000	   22.9560	   35.2502	   41.5938	  261.2500
  314.0000	   22.9656	   35.2859	   41.6461	  261.5531
  315.0000	   22.9664	   35.3053	   41.6809	  261.4171
  316.0000	   22.9893	   35.3014	   41.7160	  261.3569
  317.0000	   22.9898	   35.3333	   41.7495	  261.4585
  318.0000	   22.9948	   35.3710	   41.7877	  261.5119
  319.0000	   23.0065	   35.3554	   41.8259	  261.3484
  320.0000	   23.0182	   35.3897	   41.8585	  261.5352
  321.0000	   23.0176	   35.4129	   41.9039	  261.6215
  322.0000	   23.0391	   35.4293	   41.9355	  261.5448
  323.0000	   23.0531	   35.4487	   41.9682	  261.5188
  324.0000	   23.0594	   35.4543	   42.0096	  261.7055
  325.0000	   23.0748	   35.4491	   42.0344	  261.5865
  326.0000	   23.0825	   35.4797	   42.0662	  261.5066
  327.0000	   23.0978	   35.5300	   42.1041	  261.5131
  328.0000	   23.1052	   35.5420	   42.1422	  261.4912
  329.0000	   23.1223	   35.5147	   42.1689	  261.3273
  330.0000	   23.1321	   35.5406	   42.2049	  261.5490
  331.0000	   23.1379	   35.5728	   42.2254	  261.7340
  332.0000	   23.1466	   35.5693	   42.2677	  261.5887
  333.0000	   23.1657	   35.6052	   42.2912	  261.6737
  334.0000	   23.1737	   35.6189	   42.3210	  261.7141
  335.0000	   23.1760	   35.6103	   42.3488	  261.5844
  336.0000	   23.1939	   35.6173	   42.3730	  261.5915
  337.0000	   23.2016	   35.6290	   42.4041	  261.7389
  338.0000	   23.2196	   35.6338	   42.4276	  261.6380
  339.0000	   23.2273	   35.6448	   42.4454	  261.5551
  340.0000	   23.2265	   35.6662	   42.4833	  261.8468
