1350	34546.5859	604076.562	1186084.5	26065.6465	369144.625	610083
1380	34598.2578	603771.437	1192039.38	26072.0078	369159.906	607185.687
1410	34650.6875	605241.313	1185623.75	26092.4922	369328.844	604444.75
1440	34723.4922	605161.375	1184843.38	26119.1914	369312.25	601516.438
1470	34806.4805	606634.688	1178951.63	26159.0605	369248.969	598536.875
1500	34896.582	604888.125	1184462.38	26207.4883	369141.344	595642.875
1530	34995.0391	606158.875	1171464.38	26263.6113	369243.25	592845
1560	35092.9805	607801.188	1173578.75	26321.2109	369217.031	590007.063
1590	35206.3086	606827.75	1175160.12	26390.4883	369101.906	587128.187
1620	35315.8672	607367.5	1170278.75	26465.8047	369253.625	584325.813
1650	35434.1875	607415.687	1174434.25	26535.3086	369215.938	581935.375
1680	35562.5937	608560.812	1169075.75	26617.6367	369190.125	579414.625
1710	35684.0117	608356.125	1160505.75	26696.6309	369156.125	576997.625
1740	35815.2617	607415.563	1166886.13	26780.5918	369338.656	574848.687
1770	35945.8438	609107.813	1160424.63	26868.3105	369276.5	572846.688
1800	36085.0742	607801.313	1166170.25	26955.0859	369222.844	570231.938
1830	36222.0703	607774.562	1159800.5	27045.3848	369055.344	567560
1860	36364.3594	607347.812	1158367.38	27140.8652	368987.125	564896.375
1890	36499.6055	610439.063	1160756.62	27228.0313	369021.094	562647
1920	36646.4492	610980.812	1162922	27321.752	369133.5	560646.688
1950	36798.3398	625490.313	1151109.38	27418.7988	368995.875	558841.562
1980	36942.7578	617999	1155740.5	27509.5527	368887.625	557158.812
2010	37089.1289	626722.5	1148231.13	27608.002	368740.094	555421.5
2040	37241.4805	626396.375	1148256.62	27705.9395	368822.312	553865
2070	37393.8789	626489.188	1156795	27799.2109	368808.031	552229.688
2100	37545.5234	626708.625	1148666.5	27900.748	368742.812	550407.187
2130	37696.7266	611433	1153831.38	27999.2578	368856.531	548804.875
2160	37855.1875	626344.188	1146658.75	28094.3848	368811.5	547289.875
2190	38008.5937	613451.25	1146847	28196.4062	368742.562	545671.688
2220	38161.6406	611978	1144829.62	28299.6074	368722.937	544167.875
